;vertex;edge;sccs;mem_sw;mem_peak;mem_algorithm (byte);algorithm
99;1000;200000;1;8605696;8925184;319488;pearce1
100;1000;699999;1;20176896;20492288;315392;pearce1
101;1000;9999;1;1822720;2093056;270336;pearce1
102;1000;200000;1;7495680;7831552;335872;nuutila2
103;1000;699999;1;21979136;22306816;327680;nuutila2
104;1000;9999;1;1822720;2105344;282624;nuutila2
105;1000;200000;1;7651328;7979008;327680;nuutila1
106;1000;699999;1;24686592;25014272;327680;nuutila1
107;1000;9999;1;1912832;2187264;274432;nuutila1
108;1000;200000;1;7094272;7372800;278528;pearce2
109;1000;699999;1;23351296;23629824;278528;pearce2
110;1000;9999;1;1830912;2064384;233472;pearce2
111;1000;200000;1;8863744;9068544;204800;tarjan
112;1000;699999;1;18399232;18628608;229376;tarjan
113;1000;9999;1;1822720;2019328;196608;tarjan
114;1000;200000;1;7176192;7270400;94208;nuutila2_iterative
115;1000;699999;1;27197440;27299840;102400;nuutila2_iterative
116;1000;9999;1;1826816;1896448;69632;nuutila2_iterative
117;1000;200000;1;8589312;8716288;126976;pearce2_iterative
118;1000;699999;1;26402816;26505216;102400;pearce2_iterative
119;1000;9999;1;1826816;1896448;69632;pearce2_iterative
120;1000;200000;1;8646656;8843264;196608;boost
121;1000;699999;1;24199168;24223744;24576;boost
122;1000;9999;1;1855488;2039808;184320;boost
123;1000;200000;1;6881280;6959104;77824;nuutila1_iterative
124;1000;699999;1;20537344;20623360;86016;nuutila1_iterative
125;1000;9999;1;1929216;2007040;77824;nuutila1_iterative
126;1000;200000;1;8376320;8691712;315392;pearce1
127;1000;699999;1;22786048;23105536;319488;pearce1
128;1000;9999;1;1822720;2093056;270336;pearce1
129;1000;200000;1;9211904;9547776;335872;nuutila2
130;1000;699999;1;23740416;24084480;344064;nuutila2
131;1000;9999;1;1822720;2105344;282624;nuutila2
132;1000;200000;1;7192576;7520256;327680;nuutila1
133;1000;699999;1;21811200;22126592;315392;nuutila1
134;1000;9999;1;1822720;2105344;282624;nuutila1
135;1000;200000;1;7548928;7827456;278528;pearce2
136;1000;699999;1;25317376;25595904;278528;pearce2
137;1000;9999;1;1822720;2056192;233472;pearce2
138;1000;200000;1;7958528;8187904;229376;tarjan
139;1000;699999;1;18034688;18239488;204800;tarjan
140;1000;9999;1;1822720;2019328;196608;tarjan
141;1000;200000;1;8851456;8941568;90112;nuutila2_iterative
142;1000;699999;1;28499968;28598272;98304;nuutila2_iterative
143;1000;9999;1;1912832;1994752;81920;nuutila2_iterative
144;1000;200000;1;6803456;6893568;90112;pearce2_iterative
145;1000;699999;1;20996096;21082112;86016;pearce2_iterative
146;1000;9999;1;1826816;1896448;69632;pearce2_iterative
147;1000;200000;1;8683520;8876032;192512;boost
148;1000;699999;1;25403392;25432064;28672;boost
149;1000;9999;1;1822720;1982464;159744;boost
150;1000;200000;1;8560640;8646656;86016;nuutila1_iterative
151;1000;699999;1;24694784;24809472;114688;nuutila1_iterative
152;1000;9999;1;1826816;1896448;69632;nuutila1_iterative
153;1000;200000;1;7065600;7389184;323584;pearce1
154;1000;699999;1;24215552;24535040;319488;pearce1
155;1000;9999;1;1822720;2093056;270336;pearce1
156;1000;200000;1;8663040;8998912;335872;nuutila2
157;1000;699999;1;26365952;26693632;327680;nuutila2
158;1000;9999;1;1822720;2105344;282624;nuutila2
159;1000;200000;1;8810496;9134080;323584;nuutila1
160;1000;699999;1;24420352;24735744;315392;nuutila1
161;1000;9999;1;1892352;2162688;270336;nuutila1
162;1000;200000;1;9400320;9674752;274432;pearce2
163;1000;699999;1;18083840;18362368;278528;pearce2
164;1000;9999;1;1839104;2068480;229376;pearce2
165;1000;200000;1;8912896;9134080;221184;tarjan
166;1000;699999;1;25063424;25272320;208896;tarjan
167;1000;9999;1;1822720;2019328;196608;tarjan
168;1000;200000;1;7380992;7507968;126976;nuutila2_iterative
169;1000;699999;1;26865664;26951680;86016;nuutila2_iterative
170;1000;9999;1;1826816;1896448;69632;nuutila2_iterative
171;1000;200000;1;8663040;8753152;90112;pearce2_iterative
172;1000;699999;1;22274048;22380544;106496;pearce2_iterative
173;1000;9999;1;1826816;1896448;69632;pearce2_iterative
174;1000;200000;1;9490432;9515008;24576;boost
175;1000;699999;1;26447872;26472448;24576;boost
176;1000;9999;1;1822720;1982464;159744;boost
177;1000;200000;1;8531968;8638464;106496;nuutila1_iterative
178;1000;699999;1;22466560;22556672;90112;nuutila1_iterative
179;1000;9999;1;1826816;1896448;69632;nuutila1_iterative
180;1000;200000;1;7757824;8077312;319488;pearce1
181;1000;699999;1;25853952;26169344;315392;pearce1
182;1000;9999;1;1822720;2093056;270336;pearce1
183;1000;200000;1;8601600;8929280;327680;nuutila2
184;1000;699999;1;26746880;27082752;335872;nuutila2
185;1000;9999;1;1822720;2105344;282624;nuutila2
186;1000;200000;1;6774784;7098368;323584;nuutila1
187;1000;699999;1;24145920;24473600;327680;nuutila1
188;1000;9999;1;1822720;2097152;274432;nuutila1
189;10000;20000000;1;433049600;435957760;2908160;pearce2
190;10000;69999998;1;1334935552;1337872384;2936832;pearce2
191;10000;999999;1;33042432;35950592;2908160;pearce2
192;10000;20000000;1;434270208;436420608;2150400;tarjan
193;10000;69999998;1;1327894528;1330049024;2154496;tarjan
194;10000;999999;1;42651648;45023232;2371584;tarjan
195;10000;20000000;1;430874624;431517696;643072;nuutila2_iterative
196;10000;69999998;1;1334886400;1335504896;618496;nuutila2_iterative
197;10000;999999;1;40132608;40837120;704512;nuutila2_iterative
198;10000;20000000;1;440197120;440868864;671744;pearce2_iterative
199;10000;69999998;1;1323663360;1324318720;655360;pearce2_iterative
200;10000;999999;1;36290560;36884480;593920;pearce2_iterative
201;10000;20000000;1;431071232;433012736;1941504;boost
202;10000;69999998;1;1334759326;1336467358;1708032;boost
203;10000;999999;1;37744640;39792640;2048000;boost
204;10000;20000000;1;436064256;436752384;688128;nuutila1_iterative
205;10000;69999998;1;1331122176;1331765248;643072;nuutila1_iterative
206;10000;999999;1;39673856;40378368;704512;nuutila1_iterative
207;10000;20000000;1;442142720;445386752;3244032;pearce1
208;10000;69999998;1;1336475648;1339723776;3248128;pearce1
