V,E,sccs,boost,boostCorrected,tarjan_map,tarjan_mapCorrected,nuutila1_map,nuutila1_mapCorrected,nuutila1_iterative,nuutila1_iterativeCorrected,nuutila2_map,nuutila2_mapCorrected,nuutila2_iterative,nuutila2_iterativeCorrected,pearce1_map,pearce1_mapCorrected,pearce2_map,pearce2_mapCorrected,pearce2_iterative,pearce2_iterativeCorrected
10,0,10,57,v,28,v,19,v,32,v,19,v,31,X,16,v,14,v,23,v
10,2,10,56,v,29,v,17,v,31,v,19,v,34,X,17,v,14,v,28,v
10,4,10,60,v,32,v,18,v,32,v,20,v,36,X,18,v,15,v,30,v
10,6,10,62,v,34,v,19,v,35,v,21,v,38,X,19,v,15,v,32,v
10,8,8,65,v,35,v,21,v,41,v,22,X,43,X,21,v,17,v,37,v
10,10,8,69,v,36,v,63,v,44,v,24,X,47,X,22,v,19,v,40,v
10,12,9,70,v,38,v,23,v,42,v,25,X,45,X,23,v,19,v,39,v
10,14,3,75,v,38,v,23,v,48,v,24,v,51,X,24,v,20,v,45,v
10,16,8,73,v,41,v,23,v,50,v,24,X,53,X,24,v,20,v,47,v
10,18,7,251,v,45,v,26,v,53,v,26,X,56,X,26,v,22,v,50,v
10,20,3,81,v,43,v,26,v,54,v,26,X,57,X,26,v,22,v,52,v
10,22,3,82,v,43,v,26,v,56,v,26,X,59,X,27,v,23,v,54,v
10,24,3,85,v,44,v,27,v,58,v,26,v,60,X,27,v,23,v,57,v
10,26,1,87,v,47,v,27,v,59,v,27,v,61,X,29,v,24,v,57,v
10,28,3,89,v,49,v,28,v,62,v,29,X,65,X,30,v,26,v,60,v
11,1,11,61,v,30,v,19,v,30,v,20,v,33,X,18,v,15,v,27,v
11,3,11,62,v,32,v,19,v,34,v,21,v,37,X,19,v,15,v,31,v
11,6,9,67,v,35,v,21,v,39,v,22,v,42,X,20,v,17,v,37,v
11,8,11,68,v,38,v,21,v,41,v,23,v,44,X,21,v,18,v,39,v
11,10,8,73,v,53,v,23,v,46,v,24,X,49,X,23,v,20,v,43,v
11,13,11,75,v,42,v,23,v,47,v,25,v,49,X,22,v,20,v,42,v
11,15,11,77,v,43,v,23,v,49,v,25,v,130,X,24,v,20,v,46,v
11,18,4,81,v,45,v,27,v,56,v,28,X,60,X,27,v,23,v,54,v
11,20,8,82,v,46,v,27,v,54,v,28,X,57,X,27,v,23,v,51,v
11,22,4,90,v,46,v,28,v,57,v,28,v,60,X,29,v,24,v,56,v
11,25,3,90,v,48,v,29,v,77,v,29,X,65,X,29,v,25,v,60,v
11,27,5,96,v,52,v,30,v,65,v,30,v,66,X,31,v,26,v,63,v
11,30,2,98,v,52,v,30,v,67,v,30,v,117,X,32,v,27,v,62,v
11,32,1,101,v,51,v,31,v,70,v,31,v,73,X,32,v,27,v,69,v
11,35,2,106,v,55,v,33,v,70,v,32,v,72,X,33,v,29,v,68,v
12,1,12,67,v,33,v,20,v,31,v,22,v,35,X,19,v,16,v,29,v
12,4,12,69,v,36,v,21,v,37,v,23,v,40,X,20,v,17,v,34,v
12,7,12,152,v,39,v,22,v,40,v,24,v,43,X,21,v,18,v,37,v
12,10,12,94,v,41,v,23,v,45,v,25,v,47,X,23,v,19,v,42,v
12,12,10,79,v,42,v,24,v,50,v,26,X,53,X,25,v,21,v,47,v
12,15,11,81,v,47,v,26,v,55,v,28,X,57,X,27,v,23,v,49,v
12,18,4,89,v,45,v,27,v,57,v,28,v,61,X,29,v,24,v,56,v
12,21,4,92,v,49,v,28,v,63,v,29,X,66,X,31,v,26,v,60,v
12,24,5,97,v,52,v,31,v,65,v,32,X,90,X,32,v,27,v,60,v
12,27,2,101,v,51,v,31,v,72,v,30,X,74,X,32,v,27,v,70,v
12,30,2,109,v,57,v,35,v,75,v,41,v,76,X,35,v,29,v,71,v
12,33,2,107,v,57,v,33,v,74,v,33,X,76,X,35,v,30,v,72,v
12,35,2,113,v,60,v,36,v,81,v,35,X,82,X,37,v,30,v,79,v
