V,E,sccs,boost,boostCorrected,tarjan_map,tarjan_mapCorrected,nuutila1_map,nuutila1_mapCorrected,nuutila1_iterative,nuutila1_iterativeCorrected,nuutila2_map,nuutila2_mapCorrected,nuutila2_iterative,nuutila2_iterativeCorrected,pearce1_map,pearce1_mapCorrected,pearce2_map,pearce2_mapCorrected,pearce2_iterative,pearce2_iterativeCorrected
6,8,6,1,v,1,v,1,v,1,v,0,v,1,X,0,v,0,v,1,v
6,8,3,1,v,1,v,1,v,1,v,1,v,1,X,0,v,0,v,1,v
6,9,5,1,v,1,v,1,v,1,v,1,X,1,X,0,v,0,v,1,v
6,10,3,1,v,1,v,1,v,1,v,1,X,2,X,1,v,0,v,1,v
7,0,7,1,v,1,v,0,v,1,v,0,v,1,X,0,v,0,v,1,v
7,1,7,1,v,1,v,0,v,1,v,0,v,1,X,0,v,0,v,1,v
7,2,7,1,v,1,v,1,v,1,v,0,v,1,X,0,v,0,v,1,v
7,3,7,1,v,1,v,0,v,1,v,1,v,1,X,0,v,0,v,1,v
7,4,7,1,v,1,v,0,v,1,v,1,v,1,X,0,v,0,v,1,v
7,5,7,1,v,1,v,0,v,1,v,0,v,1,X,0,v,0,v,1,v
7,6,6,1,v,1,v,1,v,1,v,1,X,1,X,0,v,0,v,1,v
7,7,3,1,v,1,v,1,v,1,v,1,v,2,X,1,v,0,v,1,v
7,8,7,1,v,1,v,1,v,1,v,1,v,2,X,0,v,0,v,1,v
7,9,2,1,v,1,v,1,v,1,v,1,v,2,X,1,v,0,v,1,v
7,10,6,1,v,1,v,1,v,1,v,1,X,1,X,0,v,0,v,1,v
7,11,3,1,v,1,v,1,v,2,v,1,v,2,X,1,v,0,v,2,v
7,12,3,1,v,1,v,1,v,2,v,1,X,2,X,1,v,0,v,1,v
7,13,4,1,v,1,v,1,v,2,v,1,X,2,X,1,v,0,v,2,v
7,14,5,1,v,1,v,1,v,2,v,1,X,2,X,1,v,0,v,1,v
8,0,8,1,v,0,v,0,v,1,v,0,v,1,X,0,v,0,v,1,v
8,1,8,1,v,1,v,0,v,1,v,0,v,1,X,0,v,0,v,1,v
8,3,8,1,v,1,v,1,v,1,v,0,v,1,X,0,v,0,v,1,v
8,4,8,1,v,1,v,1,v,1,v,0,v,1,X,0,v,0,v,1,v
8,5,8,1,v,1,v,1,v,1,v,1,v,1,X,0,v,0,v,1,v
8,7,8,1,v,1,v,1,v,1,v,1,v,1,X,0,v,0,v,1,v
8,8,8,1,v,1,v,1,v,1,v,1,v,1,X,0,v,0,v,1,v
